DATE,OPPONENT,SCORE,FG PCT,3 PT PCT,FT PCT,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
26-Oct,at Cardinal Stritch,"W, 80-51",44.4,29.2,73.9,12,39,51,17,17,8,1,11,80
29-Oct,Dakota State,"W, 85-68",51.9,23.1,81.3,7,27,34,19,15,7,2,14,85
30-Oct,Wayland Baptist,"L, 84-76",37.7,42.3,79.2,15,28,43,17,22,6,0,18,76
3-Nov,at Menlo,"W, 82-68",43.5,35.7,65.7,9,30,39,15,12,5,1,12,82
6-Nov,at Stanford,"L, 105-35",23.1,20,58.3,7,15,22,3,20,4,0,9,35
12-Nov,at Indiana Wesleyan,"L, 84-51",36.5,7.1,75,7,24,31,7,22,5,5,12,51
13-Nov,vs. Bethel (IN),"W, 114-93",52.3,40,69.2,22,32,54,24,30,11,6,20,114
16-Nov,at Judson,"W, 77-42",47,26.3,83.3,11,32,43,18,10,9,0,8,77
20-Nov,St. Francis (Ill.),"W, 66-53",41.7,27.8,72.4,11,27,38,11,19,4,5,10,66
23-Nov,at Peru State,"W, 84-65",52.5,30.8,69.2,13,23,36,15,20,8,1,17,84
1-Dec,at Graceland,"W, 60-53",33.3,25,66.7,13,17,30,10,15,5,2,13,60
4-Dec,Evangel,"W, 61-58",36.7,21.1,72.2,15,26,41,11,16,6,1,12,61
11-Dec,at Culver-Stockton,"W, 76-54",44.9,38.9,78.1,12,25,37,14,17,11,1,15,76
16-Dec,Mount Mercy,"W, 85-69",47.6,40,89.5,10,28,38,14,11,8,3,15,85
18-Dec,Saint Xavier,"W, 94-61",46.4,45.5,72.5,14,40,54,16,13,6,2,11,94
29-Dec,at Bellevue,"W, 70-66",41.3,26.1,54.5,13,30,43,15,16,5,2,20,70
30-Dec,vs. Mayville State,"W, 69-49",39.1,40,52.9,19,29,48,11,13,10,2,16,69
5-Jan,Grand View,"W, 79-51",52.4,41.7,72.7,15,38,53,24,15,9,2,11,79
8-Jan,MidAmerica Nazarene,"W, 69-61",49.1,33.3,50,8,24,32,23,11,10,1,14,69
12-Jan,William Penn,"W, 85-47",50.8,36.4,92.9,14,28,42,22,10,10,1,12,85
15-Jan,at Missouri Valley,"W, 68-61",42.6,31.8,60,11,35,46,18,17,5,1,12,68
19-Jan,Graceland,"W, 61-47",36.4,17.6,58.8,18,20,38,9,14,11,0,15,61
22-Jan,Central Methodist,"W, 81-71",45,41.7,68,12,28,40,22,13,7,2,11,81
26-Jan,at Mount Mercy,"W, 77-57",45.8,42.9,70,13,41,54,15,20,5,1,18,77
29-Jan,at Benedictine,"L, 66-64",37,38.5,73.1,9,34,43,10,17,5,1,12,64
2-Feb,at Grand View,"L, 80-69",42.2,35,72.7,13,19,32,11,12,4,0,19,69
5-Feb,Park,"W, 78-45",49.1,42.9,77.3,9,33,42,18,17,11,2,11,78
9-Feb,Peru State,"W, 91-65",50.8,45,71.4,13,32,45,19,14,7,2,18,91
11-Feb,Culver-Stockton,"W, 61-45",37.1,25,81.8,11,32,43,14,14,11,1,17,61
16-Feb,at William Penn,"W, 57-42",35.4,13.6,66.7,17,37,54,16,10,3,2,11,57
19-Feb,at Baker,"W, 72-59",52.3,46.7,57.6,5,30,35,16,26,11,4,16,72
24-Feb,vs. Evangel,"W, 93-61",62.1,46.7,70,9,40,49,25,22,6,3,16,93
26-Feb,vs. MidAmerica Nazarene,"W, 67-61",39.3,50,69.6,13,30,43,12,16,5,4,19,67
1-Mar,Central Methodist,"W, 56-44",37.3,18.2,62.5,15,41,56,9,23,6,3,16,56
11-Mar,vs. Tabor,"W, 57-51",37.3,9.1,75,19,25,44,12,12,8,4,16,57
12-Mar,Mid-America Christian,"W, 84-77",49.1,37.5,70,13,28,41,17,15,3,3,16,84
18-Mar,vs. Marian,"L, 77-70",40.7,29.4,85,6,18,24,9,16,4,0,21,70
