Day ,Attendance,Class,Portion
Monday,13,MW,1
Monday,12,MW,0.923076923
Monday,13,MW,1
Monday,12,MW,0.923076923
Monday,7,MW,0.538461538
Monday,11,MW,0.846153846
Monday,7,MW,0.538461538
Monday,11,MW,0.846153846
Monday,9,MW,0.692307692
Monday,10,MW,0.769230769
Wednesday,11,MW,0.846153846
Wednesday,11,MW,0.846153846
Wednesday,11,MW,0.846153846
Wednesday,10,MW,0.769230769
Wednesday,12,MW,0.923076923
Wednesday,9,MW,0.692307692
Wednesday,9,MW,0.692307692
Wednesday,10,MW,0.769230769
Tuesday,15,TR,0.882352941
Tuesday,16,TR,0.941176471
Tuesday,14,TR,0.823529412
Tuesday,9,TR,0.529411765
Tuesday,15,TR,0.882352941
Tuesday,13,TR,0.764705882
Tuesday,15,TR,0.882352941
Tuesday,14,TR,0.823529412
Tuesday,10,TR,0.588235294
Thursday,16,TR,0.941176471
Thursday,10,TR,0.588235294
Thursday,15,TR,0.882352941
Thursday,13,TR,0.764705882
Thursday,10,TR,0.588235294
Thursday,11,TR,0.647058824
Thursday,13,TR,0.764705882
Thursday,12,TR,0.705882353
Thursday,10,TR,0.588235294
Thursday,10,TR,0.588235294
